,Date,daynight_category,temp
2384,2013-09-24,day,11.682692307692308
2385,2013-09-24,night,11.511363636363637
2386,2013-09-25,day,11.144230769230774
2387,2013-09-25,night,11.104545454545452
2388,2013-09-26,day,11.130769230769232
2389,2013-09-26,night,10.904545454545454
2390,2013-09-27,day,10.598076923076924
2391,2013-09-27,night,10.629545454545458
2392,2013-09-28,day,10.78846153846154
2393,2013-09-28,night,10.556818181818185
2394,2013-09-29,day,9.7826923076923
2395,2013-09-29,night,10.265909090909084
2396,2013-09-30,day,9.480769230769234
2397,2013-09-30,night,9.55681818181818
2398,2013-10-01,day,9.255769230769236
2399,2013-10-01,night,9.42727272727273
2400,2013-10-02,day,9.438461538461537
2401,2013-10-02,night,9.55000000000001
2402,2013-10-03,day,9.555769230769227
2403,2013-10-03,night,9.595454545454547
2404,2013-10-04,day,9.275000000000002
2405,2013-10-04,night,9.45909090909091
2406,2013-10-05,day,9.801923076923078
2407,2013-10-05,night,9.674999999999999
2408,2013-10-06,day,10.449999999999998
2409,2013-10-06,night,10.20227272727273
2410,2013-10-07,day,10.598076923076924
2411,2013-10-07,night,10.293181818181813
2412,2013-10-08,day,9.805769230769227
2413,2013-10-08,night,9.565909090909091
2414,2013-10-09,day,8.230769230769234
2415,2013-10-09,night,8.509090909090917
2416,2013-10-10,day,8.967307692307692
2417,2013-10-10,night,8.881818181818176
2418,2013-10-11,day,9.898076923076918
2419,2013-10-11,night,9.674999999999999
2420,2013-10-12,day,9.936538461538463
2421,2013-10-12,night,9.72272727272727
2422,2013-10-13,day,9.492307692307694
2423,2013-10-13,night,9.384090909090908
2424,2013-10-14,day,8.440384615384616
2425,2013-10-14,night,8.438636363636364
2426,2013-10-15,day,8.328846153846158
2427,2013-10-15,night,8.275000000000002
2428,2013-10-16,day,8.475
2429,2013-10-16,night,8.561363636363636
2430,2013-10-17,day,8.926923076923082
2431,2013-10-17,night,8.604545454545454
2432,2013-10-18,day,8.468627450980392
2433,2013-10-18,night,8.379545454545452
2434,2013-10-19,day,8.492307692307692
2435,2013-10-19,night,8.79545454545455
2436,2013-10-20,day,8.832692307692302
2437,2013-10-20,night,8.865909090909092
2438,2013-10-21,day,8.782692307692308
2439,2013-10-21,night,8.950000000000006
2440,2013-10-22,day,9.190384615384614
2441,2013-10-22,night,9.174999999999999
2442,2013-10-23,day,8.984615384615383
2443,2013-10-23,night,9.036363636363633
2444,2013-10-24,day,8.825000000000001
2445,2013-10-24,night,9.093181818181815
2446,2013-10-25,day,9.157692307692304
2447,2013-10-25,night,9.159090909090912
2448,2013-10-26,day,8.901923076923078
2449,2013-10-26,night,8.684090909090909
2450,2013-10-27,day,8.613461538461532
2451,2013-10-27,night,8.54318181818182
2452,2013-10-28,day,8.23653846153846
2453,2013-10-28,night,7.870454545454546
2454,2013-10-29,day,6.723076923076923
2455,2013-10-29,night,6.665909090909093
2456,2013-10-30,day,6.536538461538461
2457,2013-10-30,night,6.531818181818178
2458,2013-10-31,day,8.069230769230773
2459,2013-10-31,night,7.981818181818184
2460,2013-11-01,day,9.411538461538463
2461,2013-11-01,night,9.061363636363634
2462,2013-11-02,day,9.069230769230767
2463,2013-11-02,night,8.686363636363634
