,species,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,release_location_name,hatchery_location_name,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown,tag_loss_rate,tag_loss_days,tag_loss_sample_size,species_name,total,prop_untagged_unclipped,age
909,1,2009,2010-06-04,2010-06-05,3F10806  180048 R,3F10806  180048 H,,MX,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,49593,0,607,0,0.0121,,414.0,chinook,50200,0.012091633466135458,0
776,2,2010,2011-03-19,2011-03-19,3F10806  180018 R,3F10806  1872722E,,FR,DUNGENESS R  18.0018,HELEN HALLER ES(SEQU,0,0,0,500,0,,,,coho,500,1.0,0
578,1,2009,2011-04-04,2011-04-21,3F10806  180028 R,3F10806  180028 H,Y,FR,HURD CR      18.0028,HURD CR HATCHERY,0,42639,0,603,0,0.0207,,1014.0,chinook,43242,0.013944775912307479,1
378,2,2010,2011-04-13,2011-04-13,3F10806  180018 R,3F10609  1773094E,,FR,DUNGENESS R  18.0018,SALISH COAST ELEMENTARY,0,0,0,230,0,,,,coho,230,1.0,0
334,3,2010,2011-05-23,2011-05-30,3F10806  180018 R,3F10806  180018 H,S,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,11657,93,0,,,,steelhead,11750,0.007914893617021277,0
815,2,2009,2011-05-23,2011-05-30,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,539388,2112,0,,,,coho,541500,0.0039002770083102494,1
966,2,2010,2011-06-03,2011-06-07,3F10806  180018 R,3F10806  18     H,,FR,DUNGENESS R  18.0018,DUNGENESS R AUDUBON,0,0,0,250,0,,,,coho,250,1.0,0
583,1,2010,2011-06-14,2011-06-28,3F10806  180018 R,3F10806  180018 H,,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,27387,0,616,0,0.022000000000000002,,500.0,chinook,28003,0.02199764310966682,0
129,1,2010,2011-06-14,2011-06-20,3F10806  180048 R,3F10806  180048 H,,MX,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,48817,0,98,0,0.002,,500.0,chinook,48915,0.002003475416538894,0
710,1,2010,2012-03-15,2012-03-15,3F10806  180028 R,3F10806  180028 H,Y,FR,HURD CR      18.0028,HURD CR HATCHERY,0,39931,0,469,0,0.0126,,521.0,chinook,40400,0.011608910891089109,1
1121,2,2011,2012-04-13,2012-04-13,3F10806  180018 R,3F10609  1773094E,,,DUNGENESS R  18.0018,SALISH COAST ELEMENTARY,0,0,0,245,0,,,,coho,245,1.0,0
