"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_wild_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"142",2017-04-07 17:15:00,2017-04-08 08:30:00,15.25,2017-04-08 00:52:30,2017-04-07,2017-04-08,332,1,0,0,0,24,0,138,0
"143",2017-04-08 08:30:00,2017-04-08 19:30:00,11,2017-04-08 14:00:00,2017-04-08,2017-04-08,138,0,0,0,0,6,0,71,1
"144",2017-04-08 19:30:00,2017-04-09 08:00:00,12.5,2017-04-09 01:45:00,2017-04-08,2017-04-09,404,3,1,3,0,15,0,121,1
"145",2017-04-09 08:00:00,2017-04-09 19:00:00,11,2017-04-09 13:30:00,2017-04-09,2017-04-09,61,0,0,0,0,4,0,109,0
"146",2017-04-09 19:00:00,2017-04-10 07:30:00,12.5,2017-04-10 01:15:00,2017-04-09,2017-04-10,238,1,1,0,0,6,0,93,0
"147",2017-04-10 07:30:00,2017-04-10 19:00:00,11.5,2017-04-10 13:15:00,2017-04-10,2017-04-10,110,0,0,0,0,4,0,90,0
"148",2017-04-10 19:00:00,2017-04-11 07:30:00,12.5,2017-04-11 01:15:00,2017-04-10,2017-04-11,268,6,4,5,0,7,0,126,0
"149",2017-04-11 07:30:00,2017-04-11 17:00:00,9.5,2017-04-11 12:15:00,2017-04-11,2017-04-11,45,0,0,0,0,0,0,51,1
"150",2017-04-11 17:00:00,2017-04-12 09:30:00,16.5,2017-04-12 01:15:00,2017-04-11,2017-04-12,412,3,0,5,0,11,0,98,1
"151",2017-04-12 09:30:00,2017-04-12 18:30:00,9,2017-04-12 14:00:00,2017-04-12,2017-04-12,836,0,0,0,0,1,0,131,2
"152",2017-04-12 18:30:00,2017-04-13 09:30:00,15,2017-04-13 02:00:00,2017-04-12,2017-04-13,1944,0,0,3,1,14,0,196,3
"153",2017-04-13 09:30:00,2017-04-13 18:15:00,8.75,2017-04-13 13:52:30,2017-04-13,2017-04-13,657,0,0,1,0,0,0,146,0
"154",2017-04-13 18:15:00,2017-04-14 10:30:00,16.25,2017-04-14 02:22:30,2017-04-13,2017-04-14,530,4,2,7,495,3,0,128,1
"155",2017-04-17 07:30:00,2017-04-17 19:45:00,12.25,2017-04-17 13:37:30,2017-04-17,2017-04-17,159,0,0,0,8,6,3,93,1
"156",2017-04-17 19:45:00,2017-04-17 21:00:00,1.25,2017-04-17 20:22:30,2017-04-17,2017-04-17,47,0,20,23,28,0,6,9,0
"157",2017-04-18 07:30:00,2017-04-18 19:30:00,12,2017-04-18 13:30:00,2017-04-18,2017-04-18,197,0,0,23,31,1,0,112,0
"158",2017-04-18 19:30:00,2017-04-19 00:30:00,5,2017-04-18 22:00:00,2017-04-18,2017-04-19,417,0,102,870,2692,0,0,11,0
"159",2017-04-19 07:00:00,2017-04-19 18:30:00,11.5,2017-04-19 12:45:00,2017-04-19,2017-04-19,123,0,0,0,1,4,0,130,0
"160",2017-04-19 18:30:00,2017-04-20 10:40:00,16.1666666666667,2017-04-20 02:35:00,2017-04-19,2017-04-20,140,5,29,129,412,10,6,196,3
"161",2017-04-20 10:40:00,2017-04-20 18:00:00,7.33333333333333,2017-04-20 14:20:00,2017-04-20,2017-04-20,180,0,0,0,0,0,0,78,0
"162",2017-04-20 18:00:00,2017-04-21 09:30:00,15.5,2017-04-21 01:45:00,2017-04-20,2017-04-21,43,4,26,82,348,0,5,66,0
"163",2017-04-21 09:30:00,2017-04-21 17:45:00,8.25,2017-04-21 13:37:30,2017-04-21,2017-04-21,94,0,0,2,0,1,0,92,0
"164",2017-04-21 17:45:00,2017-04-22 08:30:00,14.75,2017-04-22 01:07:30,2017-04-21,2017-04-22,109,2,11,48,257,3,3,101,1
"165",2017-04-22 08:30:00,2017-04-22 20:00:00,11.5,2017-04-22 14:15:00,2017-04-22,2017-04-22,37,0,0,0,6,1,0,32,0
"166",2017-04-22 20:00:00,2017-04-23 08:15:00,12.25,2017-04-23 02:07:30,2017-04-22,2017-04-23,47,4,5,46,205,4,2,82,1
