"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"108",2021-03-30 19:00:00,2021-03-31 07:45:00,12.75,2021-03-31 01:22:30,2021-03-30,2021-03-31,934,0,0,2,0,14,0,37,0
"109",2021-03-31 07:45:00,2021-03-31 19:00:00,11.25,2021-03-31 13:22:30,2021-03-31,2021-03-31,0,0,0,0,0,118,0,10,0
"110",2021-03-31 19:00:00,2021-04-01 08:05:00,13.0833333333333,2021-04-01 01:32:30,2021-03-31,2021-04-01,1207,0,0,0,0,6,0,24,0
"111",2021-04-01 08:05:00,2021-04-01 19:35:00,11.5,2021-04-01 13:50:00,2021-04-01,2021-04-01,177,0,0,0,0,0,0,2,10
"112",2021-04-01 19:35:00,2021-04-02 07:50:00,12.25,2021-04-02 01:42:30,2021-04-01,2021-04-02,3327,0,0,0,0,17,2,24,0
"113",2021-04-02 07:50:00,2021-04-02 19:10:00,11.3333333333333,2021-04-02 13:30:00,2021-04-02,2021-04-02,131,0,0,0,0,0,0,6,0
"114",2021-04-02 19:10:00,2021-04-03 08:30:00,13.3333333333333,2021-04-03 01:50:00,2021-04-02,2021-04-03,1408,0,0,0,0,15,2,17,0
"115",2021-04-03 08:30:00,2021-04-03 19:00:00,10.5,2021-04-03 13:45:00,2021-04-03,2021-04-03,80,0,0,0,0,0,0,2,0
"116",2021-04-03 19:00:00,2021-04-04 08:00:00,13,2021-04-04 01:30:00,2021-04-03,2021-04-04,763,0,0,0,0,3,4,17,0
"117",2021-04-04 08:00:00,2021-04-04 19:00:00,11,2021-04-04 13:30:00,2021-04-04,2021-04-04,428,0,0,0,0,1,1,3,0
"118",2021-04-04 19:00:00,2021-04-05 08:15:00,13.25,2021-04-05 01:37:30,2021-04-04,2021-04-05,1520,0,0,0,0,12,2,28,0
"119",2021-04-05 08:15:00,2021-04-05 19:00:00,10.75,2021-04-05 13:37:30,2021-04-05,2021-04-05,206,0,0,0,0,1,0,3,0
"120",2021-04-05 19:00:00,2021-04-06 08:15:00,13.25,2021-04-06 01:37:30,2021-04-05,2021-04-06,1151,0,0,0,0,30,1,35,0
"121",2021-04-06 08:15:00,2021-04-06 19:45:00,11.5,2021-04-06 14:00:00,2021-04-06,2021-04-06,315,0,0,0,0,1,1,4,0
"122",2021-04-06 19:45:00,2021-04-07 09:00:00,13.25,2021-04-07 02:22:30,2021-04-06,2021-04-07,1030,0,0,0,0,15,8,19,0
"123",2021-04-07 09:00:00,2021-04-07 19:40:00,10.6666666666667,2021-04-07 14:20:00,2021-04-07,2021-04-07,81,0,0,0,0,1,1,1,0
"124",2021-04-07 19:40:00,2021-04-08 08:30:00,12.8333333333333,2021-04-08 02:05:00,2021-04-07,2021-04-08,3389,0,0,0,0,10,9,25,0
