"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild_num","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"70",2022-02-25 17:10:00,2022-02-26 07:55:00,14.75,2022-02-26 00:32:30,2022-02-25,2022-02-26,130,19,0,0,4,0,0,0,0,3,0
"71",2022-02-26 07:55:00,2022-02-26 17:00:00,9.08333333333333,2022-02-26 12:27:30,2022-02-26,2022-02-26,8,7,0,0,0,0,0,0,0,3,0
"72",2022-02-26 17:00:00,2022-02-27 07:50:00,14.8333333333333,2022-02-27 00:25:00,2022-02-26,2022-02-27,237,128,1,0,5,0,0,0,0,2,0
"73",2022-02-27 07:50:00,2022-02-27 17:00:00,9.16666666666667,2022-02-27 12:25:00,2022-02-27,2022-02-27,15,12,0,0,0,0,0,0,0,2,0
"74",2022-03-07 10:00:00,2022-03-07 17:30:00,7.5,2022-03-07 13:45:00,2022-03-07,2022-03-07,62,10,0,0,0,0,0,0,0,6,0
"75",2022-03-07 17:30:00,2022-03-08 08:15:00,14.75,2022-03-08 00:52:30,2022-03-07,2022-03-08,697,73,1,0,66,0,2,0,0,10,0
"76",2022-03-08 08:15:00,2022-03-08 17:10:00,8.91666666666667,2022-03-08 12:42:30,2022-03-08,2022-03-08,200,29,0,0,4,0,0,0,0,6,0
"77",2022-03-08 17:10:00,2022-03-09 08:20:00,15.1666666666667,2022-03-09 00:45:00,2022-03-08,2022-03-09,387,31,1,0,154,0,3,0,0,8,0
"78",2022-03-09 08:20:00,2022-03-09 17:50:00,9.5,2022-03-09 13:05:00,2022-03-09,2022-03-09,114,22,0,0,0,0,0,0,0,6,0
"79",2022-03-09 17:50:00,2022-03-10 11:15:00,17.4166666666667,2022-03-10 02:32:30,2022-03-09,2022-03-10,320,87,0,0,18,0,0,0,0,13,0
"80",2022-03-10 17:30:00,2022-03-11 07:50:00,14.3333333333333,2022-03-11 00:40:00,2022-03-10,2022-03-11,490,45,0,0,31,0,0,0,0,2,0
"81",2022-03-11 07:50:00,2022-03-11 17:45:00,9.91666666666667,2022-03-11 12:47:30,2022-03-11,2022-03-11,203,80,0,0,0,0,0,0,0,2,0
"82",2022-03-11 17:45:00,2022-03-12 07:00:00,13.25,2022-03-12 00:22:30,2022-03-11,2022-03-12,1159,186,0,0,17,0,0,0,0,5,0
