"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"124",2020-04-30 18:00:00,2020-05-01 08:00:00,14,2020-05-01 01:00:00,2020-04-30,2020-05-01,0,1,0,1,47,0,0,0,0,1
"125",2020-05-01 08:00:00,2020-05-01 18:45:00,10.75,2020-05-01 13:22:30,2020-05-01,2020-05-01,9,3,0,0,0,0,0,0,1,0
"126",2020-05-01 18:45:00,2020-05-02 09:00:00,14.25,2020-05-02 01:52:30,2020-05-01,2020-05-02,10,2,1,72,13,0,0,0,0,0
"127",2020-05-02 09:00:00,2020-05-02 19:00:00,10,2020-05-02 14:00:00,2020-05-02,2020-05-02,7,1,0,0,0,0,0,0,0,0
"128",2020-05-02 19:00:00,2020-05-03 08:00:00,13,2020-05-03 01:30:00,2020-05-02,2020-05-03,3,4,1,29,24,0,0,0,0,1
"129",2020-05-03 08:00:00,2020-05-03 19:10:00,11.1666666666667,2020-05-03 13:35:00,2020-05-03,2020-05-03,8,7,0,0,0,0,0,0,0,0
"130",2020-05-03 19:10:00,2020-05-04 08:00:00,12.8333333333333,2020-05-04 01:35:00,2020-05-03,2020-05-04,3,3,0,6,30,0,0,0,0,0
"131",2020-05-04 08:00:00,2020-05-04 19:00:00,11,2020-05-04 13:30:00,2020-05-04,2020-05-04,1,3,0,0,1,0,0,0,0,0
"132",2020-05-04 19:00:00,2020-05-05 08:30:00,13.5,2020-05-05 01:45:00,2020-05-04,2020-05-05,8,5,0,0,10,0,0,0,2,0
"133",2020-05-05 08:30:00,2020-05-05 18:00:00,9.5,2020-05-05 13:15:00,2020-05-05,2020-05-05,7,1,0,0,0,0,0,0,0,0
"134",2020-05-05 18:00:00,2020-05-06 08:30:00,14.5,2020-05-06 01:15:00,2020-05-05,2020-05-06,3,2,0,0,3,0,0,0,1,0
"135",2020-05-06 08:30:00,2020-05-06 18:00:00,9.5,2020-05-06 13:15:00,2020-05-06,2020-05-06,5,1,0,0,0,0,0,0,0,0
"136",2020-05-06 18:00:00,2020-05-07 13:00:00,19,2020-05-07 03:30:00,2020-05-06,2020-05-07,12,2938,0,1,15,0,0,1,2,0
"137",2020-05-07 13:00:00,2020-05-07 18:00:00,5,2020-05-07 15:30:00,2020-05-07,2020-05-07,2,11,0,0,0,0,0,0,0,0
"138",2020-05-07 18:00:00,2020-05-08 08:15:00,14.25,2020-05-08 01:07:30,2020-05-07,2020-05-08,3,121,0,0,13,0,0,0,0,0
"139",2020-05-08 19:00:00,2020-05-09 08:20:00,13.3333333333333,2020-05-09 01:40:00,2020-05-08,2020-05-09,5,60,0,1,7,0,0,0,0,1
"140",2020-05-09 19:00:00,2020-05-10 08:00:00,13,2020-05-10 01:30:00,2020-05-09,2020-05-10,2,59,0,1,3,0,0,0,0,1
"141",2020-05-10 19:00:00,2020-05-11 08:00:00,13,2020-05-11 01:30:00,2020-05-10,2020-05-11,3,36,0,0,5,0,0,0,1,0
"142",2020-05-11 08:00:00,2020-05-11 19:00:00,11,2020-05-11 13:30:00,2020-05-11,2020-05-11,0,60,0,0,0,0,0,0,1,0
"143",2020-05-11 19:00:00,2020-05-12 08:30:00,13.5,2020-05-12 01:45:00,2020-05-11,2020-05-12,4,37,0,0,8,0,0,0,1,0
"144",2020-05-12 08:30:00,2020-05-12 18:00:00,9.5,2020-05-12 13:15:00,2020-05-12,2020-05-12,1,64,0,0,0,0,0,0,0,0
"145",2020-05-12 18:00:00,2020-05-13 08:30:00,14.5,2020-05-13 01:15:00,2020-05-12,2020-05-13,0,52,0,0,0,0,0,0,0,0
"146",2020-05-13 08:30:00,2020-05-13 18:15:00,9.75,2020-05-13 13:22:30,2020-05-13,2020-05-13,0,123,0,0,0,0,0,0,0,0
"147",2020-05-13 18:15:00,2020-05-14 08:30:00,14.25,2020-05-14 01:22:30,2020-05-13,2020-05-14,1,101,0,0,7,0,0,0,0,0
"148",2020-05-14 08:30:00,2020-05-14 18:30:00,10,2020-05-14 13:30:00,2020-05-14,2020-05-14,0,95,0,0,0,0,0,0,0,0
"149",2020-05-14 18:30:00,2020-05-15 10:00:00,15.5,2020-05-15 02:15:00,2020-05-14,2020-05-15,0,76,0,0,8,0,0,0,3,1
"150",2020-05-15 10:00:00,2020-05-15 19:00:00,9,2020-05-15 14:30:00,2020-05-15,2020-05-15,0,109,0,0,0,0,0,0,1,0
"151",2020-05-15 19:00:00,2020-05-16 08:00:00,13,2020-05-16 01:30:00,2020-05-15,2020-05-16,0,27,0,0,3,0,0,0,0,0
"152",2020-05-16 08:00:00,2020-05-16 18:45:00,10.75,2020-05-16 13:22:30,2020-05-16,2020-05-16,1,6,0,0,0,0,0,0,0,0
"153",2020-05-16 18:45:00,2020-05-17 08:15:00,13.5,2020-05-17 01:30:00,2020-05-16,2020-05-17,1,16,0,0,3,0,0,0,1,2
"154",2020-05-17 08:15:00,2020-05-17 18:45:00,10.5,2020-05-17 13:30:00,2020-05-17,2020-05-17,0,8,0,0,0,0,0,0,0,0
"155",2020-05-17 18:45:00,2020-05-18 08:00:00,13.25,2020-05-18 01:22:30,2020-05-17,2020-05-18,1,15,0,0,4,0,0,0,0,0
"156",2020-05-18 08:00:00,2020-05-18 19:00:00,11,2020-05-18 13:30:00,2020-05-18,2020-05-18,0,4,0,0,0,0,0,0,0,1
"157",2020-05-18 19:00:00,2020-05-19 08:00:00,13,2020-05-19 01:30:00,2020-05-18,2020-05-19,0,9,0,0,1,0,0,0,2,0
"158",2020-05-19 19:00:00,2020-05-20 07:45:00,12.75,2020-05-20 01:22:30,2020-05-19,2020-05-20,0,0,0,0,1,0,0,0,1,0
"159",2020-05-20 07:45:00,2020-05-20 19:30:00,11.75,2020-05-20 13:37:30,2020-05-20,2020-05-20,0,1,0,0,0,0,0,0,0,0
"160",2020-05-20 19:30:00,2020-05-21 09:00:00,13.5,2020-05-21 02:15:00,2020-05-20,2020-05-21,1,5,0,0,3,0,0,0,2,0
"161",2020-05-21 19:45:00,2020-05-22 08:30:00,12.75,2020-05-22 02:07:30,2020-05-21,2020-05-22,0,4,0,0,3,0,0,0,3,0
"162",2020-05-22 08:30:00,2020-05-22 19:00:00,10.5,2020-05-22 13:45:00,2020-05-22,2020-05-22,0,1,0,0,0,0,0,0,1,0
"163",2020-05-22 19:00:00,2020-05-23 06:30:00,11.5,2020-05-23 00:45:00,2020-05-22,2020-05-23,0,8,0,1,7,0,0,0,5,0
"164",2020-05-23 06:30:00,2020-05-23 18:00:00,11.5,2020-05-23 12:15:00,2020-05-23,2020-05-23,0,28,0,0,0,0,0,0,3,0
"165",2020-05-23 18:00:00,2020-05-24 08:15:00,14.25,2020-05-24 01:07:30,2020-05-23,2020-05-24,0,1,0,1,4,0,0,0,5,0
"166",2020-05-24 08:15:00,2020-05-24 19:00:00,10.75,2020-05-24 13:37:30,2020-05-24,2020-05-24,0,1,0,0,0,0,0,0,0,0
"167",2020-05-24 19:00:00,2020-05-25 08:00:00,13,2020-05-25 01:30:00,2020-05-24,2020-05-25,0,0,1,0,5,0,0,0,0,0
"168",2020-05-25 19:00:00,2020-05-26 07:45:00,12.75,2020-05-26 01:22:30,2020-05-25,2020-05-26,0,6,0,0,3,0,0,0,2,2
