"","StartDate","EndDate","StartTime","EndTime","chinook0_wild_num","chinook0_hatchery_num","chinook1_wild_num","chum0_wild_num","coho0_wild_num","coho1_wild_num","coho1_hatchery_num","steelheadsmolt_wild_num","sockeye0_wild_num","sockeye1_wild_num","pink0_wild_num","start_datetime","end_datetime","In","midpoint"
"74",2015-03-31,2015-03-31,1899-12-30 08:00:00,1899-12-30 19:30:00,28,0,0,2540,0,0,0,0,0,0,0,2015-03-31 08:00:00,2015-03-31 19:30:00,11.5,2015-03-31 13:45:00
"75",2015-03-31,2015-04-01,1899-12-30 20:00:00,1899-12-30 07:30:00,53,0,0,910,2,2,0,0,0,0,0,2015-03-31 20:00:00,2015-04-01 07:30:00,11.5,2015-04-01 01:45:00
"76",2015-04-01,2015-04-02,1899-12-30 20:00:00,1899-12-30 07:30:00,33,0,0,630,3,3,0,0,0,0,0,2015-04-01 20:00:00,2015-04-02 07:30:00,11.5,2015-04-02 01:45:00
"77",2015-04-02,2015-04-03,1899-12-30 20:30:00,1899-12-30 07:30:00,14,0,0,260,0,2,0,1,0,0,0,2015-04-02 20:30:00,2015-04-03 07:30:00,11,2015-04-03 02:00:00
"78",2015-04-03,2015-04-03,1899-12-30 07:45:00,1899-12-30 20:00:00,1,0,0,270,0,0,0,0,0,0,0,2015-04-03 07:45:00,2015-04-03 20:00:00,12.25,2015-04-03 13:52:30
"79",2015-04-03,2015-04-04,1899-12-30 20:15:00,1899-12-30 07:30:00,13,0,1,380,0,4,0,1,1,0,0,2015-04-03 20:15:00,2015-04-04 07:30:00,11.25,2015-04-04 01:52:30
"80",2015-04-04,2015-04-05,1899-12-30 20:30:00,1899-12-30 07:30:00,19,0,0,650,0,8,0,1,0,0,0,2015-04-04 20:30:00,2015-04-05 07:30:00,11,2015-04-05 02:00:00
"81",2015-04-05,2015-04-06,1899-12-30 20:30:00,1899-12-30 07:30:00,20,0,0,1910,1,7,0,0,0,0,0,2015-04-05 20:30:00,2015-04-06 07:30:00,11,2015-04-06 02:00:00
"82",2015-04-06,2015-04-06,1899-12-30 08:00:00,1899-12-30 20:15:00,8,0,0,750,0,0,0,0,0,0,0,2015-04-06 08:00:00,2015-04-06 20:15:00,12.25,2015-04-06 14:07:30
"83",2015-04-06,2015-04-07,1899-12-30 20:30:00,1899-12-30 07:30:00,10,0,0,430,0,3,0,0,0,0,0,2015-04-06 20:30:00,2015-04-07 07:30:00,11,2015-04-07 02:00:00
